ministry_code,ministry_name,active
0,Keuangan,true
1,Kementerian SDM,true
2,Kementerian Ekonomi,true
3,Kementerian Pendidikan,true
4,Kementerian Sosial,true
5,KemenPorPar,true
6,Kementerian Luar Negeri,true
7,Kominfo,true
8,Kementerian Muslimah,true
9,Menkumham & Nilai,true
96,Yayasan,true
98,SDM LAMA,true
