ministry_code,event_name,category,active
1,Bukber 2026,,true
0,SERTIJAB 26,,true
98,UMROH MJ,,true
4,Baksos,,true
4,Santunan,,true
3,Ngopbis,,true
1,Training For Mentor,,true
5,Mabit Juara,,true
5,CAMPING,,true
1,Pembuatan ID CARD,,true
1,ID CARD MJ,,true
4,Infaq,Rutin,true
1,ID Card,,true
